zone_id,name,centroid_x,centroid_y,geometry,centroid,poi_count,total_production,total_attraction
1,A1,-122.33479243674157,47.66458088869733,"POLYGON ((-122.3410025 47.6629635775604,-122.3410025 47.667593577560396,-122.3305325 47.667593577560396,-122.3305325 47.6629635775604,-122.3410025 47.6629635775604))",POINT (-122.33479243674157 47.66458088869733),318,655.8706895426626,613.0991290659396
2,A2,-122.3257881203,47.66471824856176,"POLYGON ((-122.3305325 47.6629635775604,-122.3305325 47.667593577560396,-122.3200625 47.667593577560396,-122.3200625 47.6629635775604,-122.3305325 47.6629635775604))",POINT (-122.3257881203 47.66471824856176),510,749.8692173243518,751.7118911457277
3,A3,-122.31486830230624,47.66487973504932,"POLYGON ((-122.3200625 47.6629635775604,-122.3200625 47.667593577560396,-122.30959250000001 47.667593577560396,-122.30959250000001 47.6629635775604,-122.3200625 47.6629635775604))",POINT (-122.31486830230624 47.66487973504932),382,1460.4682342942651,1343.90407252745
4,A4,-122.30481932776897,47.66515856435642,"POLYGON ((-122.30959250000001 47.6629635775604,-122.30959250000001 47.667593577560396,-122.29912250000001 47.667593577560396,-122.29912250000001 47.6629635775604,-122.30959250000001 47.6629635775604))",POINT (-122.30481932776897 47.66515856435642),411,1208.4864265551541,1542.9723804244802
5,A5,-122.29439415496623,47.66479427791134,"POLYGON ((-122.29912250000001 47.6629635775604,-122.29912250000001 47.667593577560396,-122.28865250000001 47.667593577560396,-122.28865250000001 47.6629635775604,-122.29912250000001 47.6629635775604))",POINT (-122.29439415496623 47.66479427791134),349,740.6996788606212,1358.7308747274824
6,B1,-122.3345209071402,47.66058107250779,"POLYGON ((-122.3410025 47.6583335775604,-122.3410025 47.6629635775604,-122.3305325 47.6629635775604,-122.3305325 47.6583335775604,-122.3410025 47.6583335775604))",POINT (-122.3345209071402 47.66058107250779),577,1940.3675995980095,1515.8277574273732
7,B2,-122.32551904095595,47.660609281479765,"POLYGON ((-122.3305325 47.6583335775604,-122.3305325 47.6629635775604,-122.3200625 47.6629635775604,-122.3200625 47.6583335775604,-122.3305325 47.6583335775604))",POINT (-122.32551904095595 47.660609281479765),633,1059.3014485556791,1407.098689096358
8,B3,-122.31518165357939,47.6605169798842,"POLYGON ((-122.3200625 47.6583335775604,-122.3200625 47.6629635775604,-122.30959250000001 47.6629635775604,-122.30959250000001 47.6583335775604,-122.3200625 47.6583335775604))",POINT (-122.31518165357939 47.6605169798842),273,1541.992982981094,2555.556606451572
9,B4,-122.3047029481958,47.66053453078303,"POLYGON ((-122.30959250000001 47.6583335775604,-122.30959250000001 47.6629635775604,-122.29912250000001 47.6629635775604,-122.29912250000001 47.6583335775604,-122.30959250000001 47.6583335775604))",POINT (-122.3047029481958 47.66053453078303),114,966.6513481215294,1911.2673355398783
10,B5,-122.29350658766755,47.66099357896308,"POLYGON ((-122.29912250000001 47.6583335775604,-122.29912250000001 47.6629635775604,-122.28865250000001 47.6629635775604,-122.28865250000001 47.6583335775604,-122.29912250000001 47.6583335775604))",POINT (-122.29350658766755 47.66099357896308),159,548.2436949418624,2733.565323651
11,C1,-122.33509680581392,47.655808593156564,"POLYGON ((-122.3410025 47.6537035775604,-122.3410025 47.6583335775604,-122.3305325 47.6583335775604,-122.3305325 47.6537035775604,-122.3410025 47.6537035775604))",POINT (-122.33509680581392 47.655808593156564),699,1337.39726716283,1073.5846409887802
12,C2,-122.3253242763776,47.6560149296309,"POLYGON ((-122.3305325 47.6537035775604,-122.3305325 47.6583335775604,-122.3200625 47.6583335775604,-122.3200625 47.6537035775604,-122.3305325 47.6537035775604))",POINT (-122.3253242763776 47.6560149296309),548,1188.3997641907913,1362.8193953981763
13,C3,-122.31489163164909,47.65593477487165,"POLYGON ((-122.3200625 47.6537035775604,-122.3200625 47.6583335775604,-122.30959250000001 47.6583335775604,-122.30959250000001 47.6537035775604,-122.3200625 47.6537035775604))",POINT (-122.31489163164909 47.65593477487165),174,1355.0136659099458,1564.7454138673022
14,C4,-122.30482007396076,47.65596505889987,"POLYGON ((-122.30959250000001 47.6537035775604,-122.30959250000001 47.6583335775604,-122.29912250000001 47.6583335775604,-122.29912250000001 47.6537035775604,-122.30959250000001 47.6537035775604))",POINT (-122.30482007396076 47.65596505889987),72,3235.6414874405828,3511.164806809503
15,C5,-122.29348976846539,47.657242678658555,"POLYGON ((-122.29912250000001 47.6537035775604,-122.29912250000001 47.6583335775604,-122.28865250000001 47.6583335775604,-122.28865250000001 47.6537035775604,-122.29912250000001 47.6537035775604))",POINT (-122.29348976846539 47.657242678658555),15,844.7059846284416,210.72533223464956
16,D1,-122.33529169085831,47.651343742853506,"POLYGON ((-122.3410025 47.6490735775604,-122.3410025 47.6537035775604,-122.3305325 47.6537035775604,-122.3305325 47.6490735775604,-122.3410025 47.6490735775604))",POINT (-122.33529169085831 47.651343742853506),698,1032.2384482911357,1053.1856207085182
17,D2,-122.32460962429364,47.65148459936924,"POLYGON ((-122.3305325 47.6490735775604,-122.3305325 47.6537035775604,-122.3200625 47.6537035775604,-122.3200625 47.6490735775604,-122.3305325 47.6490735775604))",POINT (-122.32460962429364 47.65148459936924),169,411.1764151173052,699.1206950727551
18,D3,-122.31383414234256,47.651699631624304,"POLYGON ((-122.3200625 47.6490735775604,-122.3200625 47.6537035775604,-122.30959250000001 47.6537035775604,-122.30959250000001 47.6490735775604,-122.3200625 47.6490735775604))",POINT (-122.31383414234256 47.651699631624304),154,1010.4383005580165,1071.694412211258
19,D4,-122.30524400405493,47.65166417582686,"POLYGON ((-122.30959250000001 47.6490735775604,-122.30959250000001 47.6537035775604,-122.29912250000001 47.6537035775604,-122.29912250000001 47.6490735775604,-122.30959250000001 47.6490735775604))",POINT (-122.30524400405493 47.65166417582686),68,1141.1449058655426,1108.0176691763843
20,D5,-122.29899948000002,47.65040546,"POLYGON ((-122.29912250000001 47.6490735775604,-122.29912250000001 47.6537035775604,-122.28865250000001 47.6537035775604,-122.28865250000001 47.6490735775604,-122.29912250000001 47.6490735775604))",POINT (-122.29899948000002 47.65040546),0,0.0,0.0
21,E1,-122.33598033102474,47.64743551265102,"POLYGON ((-122.3410025 47.6444435775604,-122.3410025 47.6490735775604,-122.3305325 47.6490735775604,-122.3305325 47.6444435775604,-122.3410025 47.6444435775604))",POINT (-122.33598033102474 47.64743551265102),151,536.1452856943805,783.8531751700673
22,E2,-122.32280573128149,47.64822763558698,"POLYGON ((-122.3305325 47.6444435775604,-122.3305325 47.6490735775604,-122.3200625 47.6490735775604,-122.3200625 47.6444435775604,-122.3305325 47.6444435775604))",POINT (-122.32280573128149 47.64822763558698),76,173.89581627168005,282.93855571566087
23,E3,-122.3177506441697,47.64814324079282,"POLYGON ((-122.3200625 47.6444435775604,-122.3200625 47.6490735775604,-122.30959250000001 47.6490735775604,-122.30959250000001 47.6444435775604,-122.3200625 47.6444435775604))",POINT (-122.3177506441697 47.64814324079282),104,153.84862516675196,153.84862516675196
24,E4,-122.3040096714675,47.648530890869225,"POLYGON ((-122.30959250000001 47.6444435775604,-122.30959250000001 47.6490735775604,-122.29912250000001 47.6490735775604,-122.29912250000001 47.6444435775604,-122.30959250000001 47.6444435775604))",POINT (-122.3040096714675 47.648530890869225),12,209.07770046972163,792.7512585774208
25,E5,-122.29388750000001,47.646758577560405,"POLYGON ((-122.29912250000001 47.6444435775604,-122.29912250000001 47.6490735775604,-122.28865250000001 47.6490735775604,-122.28865250000001 47.6444435775604,-122.29912250000001 47.6444435775604))",POINT (-122.29388750000001 47.646758577560405),0,0.0,0.0
26,Gate1,-122.3462375,47.6560167887802,,POINT (-122.3462375 47.6560167887802),0,22000.0,22000.0
27,Gate2,-122.31482625000001,47.6699085775604,,POINT (-122.31482625000001 47.6699085775604),0,573000.0,573000.0
28,Gate3,-122.283415,47.6560167887802,,POINT (-122.283415 47.6560167887802),0,45000.0,45000.0
29,Gate4,-122.31482625000001,47.642125,,POINT (-122.31482625000001 47.642125),0,538000.0,538000.0
